"","AA9","AA14","AA18","AA23","AA29","NAA11","NAA12","NAA13","NAA16","NAA19"
"GJA3",7.93409227586739,9.75616524867552,8.28216299906793,8.31753133508438,6.37616815008816,9.32594936609948,10.3515583793106,9.0764106170196,9.31058250312918,9.35145887306278
"DAPP1",9.22001297420261,9.42235720513359,9.42660943509093,9.07032556013305,9.29846948823973,8.97178737747266,8.81941710386279,8.0745003250231,6.78704636394511,8.63144788543538
"CSDC2",5.95032558037997,6.75035292417601,6.01067446998048,6.64442929601955,5.90936857193208,7.4361752065709,8.9957240129338,7.79955231248238,8.51445659755661,8.16040972396669
"ADAMDEC1",7.64307476880447,7.27001423343789,6.45736166145125,8.04385264128878,7.34029134380152,7.20578847578537,4.87831419450265,5.21295968325246,5.24682559232385,6.31640599078067
"C16orf54",9.5669763368749,8.73381459061273,9.40080025887435,9.2015749542228,9.54819831827579,9.68752394496748,6.74800315402781,8.01776375229838,7.39573453257612,8.64740350872346
"LINC00868",5.93601253866325,6.8474237811894,6.43795751867915,6.68380269813229,6.25507128996872,7.19243222444037,8.63429225021856,7.46095029426198,7.7834838635381,7.93974600494183
"LPAR4",7.82164548126102,6.17748319406067,6.94153111916868,6.85034816141451,7.83405848588713,6.74586169709028,5.87606660994911,5.80456106579551,5.73437113116352,6.37508384102934
"CYP1B1-AS1",7.67563394910888,8.23123888783905,7.69761337631906,8.36992758856513,6.60321221713157,8.28232401184977,9.86582016892517,8.67867413452531,9.84939304639951,8.33289688899601
"ATG9B",8.95026497707635,10.2324922327682,9.60911136305296,9.81317488588909,8.25892348377431,9.7095281536722,11.0355694785282,10.8533096427325,11.2240761826122,10.3492643474683
"LSMEM1",8.57857312957069,9.13709534331717,8.55919928699635,8.92866527835224,7.53833209834376,8.94043528099102,10.3718276323394,9.54515067112383,10.4416687079877,9.46940993926274
"CD274",8.17761736065293,8.7044555506672,8.46857079429852,8.32331349460037,7.71870779583336,7.93626613855937,7.76777200662414,6.11666828613804,6.34573838498343,7.5520579985755
"GPR171",9.09024669937194,8.18122091510742,9.25422677917845,8.95060843863398,9.31522318867565,9.05659635941966,6.79550378806257,6.98695720491206,6.76344398291764,8.27597914683586
"PADI1",8.75075168038316,9.96308415883261,9.5792096985335,9.49468892734569,8.35745061802006,9.60128505200419,11.0436505715325,10.7611229608698,11.7137795832081,9.71057049720125
"GZMA",9.11438942899298,8.83879771381682,9.66090318941756,9.54825979579181,7.91692971651679,7.95873360982575,6.59499672066636,6.68211189239917,6.64471414952204,7.42442318310317
"GZMB",8.57518041157418,7.81373881557869,7.65166004946736,7.97999875487554,6.74787027499623,6.39347557852514,6.13516401877672,6.00001582003108,6.11598051988175,6.70643040595369
"GZMK",9.07614075298639,8.63895415836121,9.20153268545671,9.46014779914991,7.78913178245373,8.1078006213951,6.6967810918919,6.92902910482569,6.34565200431007,8.059740811624
"HBB",12.1229524415534,10.4147747919381,13.8521183271824,12.6021222254329,13.1104256452502,7.39905292031669,9.35010707719053,8.50769590453444,9.67410579512778,7.81076970245091
"ERVW-1",6.64647513707731,6.40841660165417,5.9446781564704,6.70455291257757,6.11627798843399,6.88925655731079,8.38752080859915,7.07509772953339,7.35689250970913,7.25672677815718
"EHD3",7.31941265832513,8.64226220480625,7.80827340195086,8.77704558504164,6.9526472879869,8.90833770678787,10.1337771280562,8.93324991831118,9.2294453996345,9.62513164748002
"HLA-DRA",12.8807735641566,12.5223048142776,12.9771671312296,12.5249944215141,13.1271600853379,12.4246047564536,11.4447739532924,11.3984406044607,10.1521588787161,12.1969468957082
"HLA-F",10.865921426926,9.25446450664258,10.1951226272542,9.80090394021831,9.03068585903422,9.37177851684779,7.72163792383124,8.41136713924,8.56660852916412,8.32449746315556
"HMGCS2",11.2305054531081,10.1824995543132,11.5003565446804,10.9415416177552,10.2991551591105,9.96655955256154,10.1955994964632,10.2136993178099,8.81180731125477,9.82249921960627
"HNMT",9.21907997929193,8.25513768497727,8.42667057660779,8.83274493053622,9.48790982762348,8.15867581095696,7.69009013193131,6.58157372003301,6.54652029875215,8.08486981972614
"EIF4E3",8.86236156115316,8.7303719197397,9.05225485090531,8.76034118681993,9.73448139461878,8.3697533710905,8.30963430630011,7.07381055219535,6.40888258292142,8.83824783807425
"KRT73",9.46244431020643,11.0871962353863,9.00179469053639,11.0710688615302,7.44196294902911,11.1828221440998,12.4285077596543,11.537863238907,12.3876076716217,11.8349127187876
"HOXC13",9.29750517095218,10.5074822230612,9.1266245799375,10.2456585542998,8.22794892985938,10.5493586688637,11.9972446745275,11.129144367158,11.6481709345448,11.187254202016
"ZAR1",5.19315634203317,7.03490395881434,4.99068262673272,5.8240132723314,4.83419199815597,7.363083205924,9.33429894451289,8.35646684243144,8.92595414319289,7.97696790919301
"APLP2",8.65854360752264,9.74448524689785,9.54283616223872,9.54763920270626,9.88799205634711,10.427332502321,10.652305248184,10.6815447174068,10.8480447488109,10.1558641034743
"KRTAP7-1",9.61997148934461,10.8367582867127,6.67304943143404,8.71755005261199,8.01523200730171,11.1401328636265,12.4398194166209,13.6948872118676,12.5088061378751,11.6065768131743
"KRTAP8-1",10.7910001308395,12.6675420287398,6.28480968681041,11.4008899697027,8.5957571272196,12.4417449901187,13.5494128873441,13.7817150579454,13.5552094006811,13.6778069904606
"KRTAP11-1",11.2288094328641,13.7038057477076,11.674783129386,13.381426309799,6.51649162637953,13.4998505667058,14.1485792918384,13.8748994292791,13.9100756189194,13.7834469073404
"KRTAP19-1",10.3138964070623,12.0231997497824,9.99463517685049,11.9436661516272,8.3379180076715,11.8513310262847,12.7351557908429,12.8076620375596,12.9519151779806,12.5251183546376
"KRTAP19-3",10.7724790612236,12.2876842102153,10.2825884987087,10.8152109433439,9.79129801541503,11.3017732388751,13.143776836114,13.8188003162694,13.5673601439863,12.4727377275408
"PRSS53",8.0800338817873,8.70180626956076,8.1188552408738,8.33566877165596,7.98826669933058,9.00099112762888,10.2027281866546,9.49684935941809,10.4301034939586,9.48794335598547
"IRF8",10.7047550448198,10.4503073139644,10.8908345568279,10.6144717635048,11.0188154786088,10.5898240871009,8.64151712069447,8.60598076993593,8.51300370764354,10.157959174901
"SMTNL2",7.32816808354129,9.94641439783701,7.98245641081769,8.24643058545632,7.10247883787985,8.99222956553501,10.7342632470394,9.44781331655375,10.0635093271508,8.73718590916684
"IFIT2",10.1302385822143,10.0183330867521,10.1833034020897,10.0640873454218,10.5920689671988,9.3431518095973,9.07441740126565,8.54454946309741,8.36738296864708,9.25525546353735
"IFIT3",9.67681170140816,9.62027856389719,9.92917009146798,9.60433482738937,9.82445016031765,8.79215594240682,8.41538501773855,8.27749728107062,8.41050864915881,8.72702337364236
"IFNGR1",10.8779827920895,10.967547527681,11.188459555509,10.8448752036204,11.0054526340415,10.6572941058974,10.2444811740111,9.62549855820921,8.6171077639128,10.4320361292523
"SERINC2",9.49773085029895,9.48564848988193,9.1453685196568,9.69171689064116,9.00830234522325,9.7307838375282,10.6289277331605,10.3468298321445,11.1182894410814,10.3626766069812
"IGF1",9.03710501471311,8.95027639899863,8.55392564663988,9.19733514375029,11.2203620702323,8.36093244506424,7.65523958967018,8.07835742680525,7.37521580683399,8.63478341938306
"IL2RB",7.90372756802999,7.86610452017381,7.43153502966703,8.07664886436406,7.521025437545,7.07689136042473,6.49003223506057,6.7441398117546,6.18699414582262,7.01873975190206
"IL2RG",10.0158118933782,9.11499395967572,10.0016681879564,9.58606326814196,9.68631660991064,9.4051534024274,8.02600413703676,8.32571205993607,8.17732872728828,8.78194140542836
"IL7",7.35599411487949,6.76846934988944,7.3515188938751,7.56352420966406,7.01101969658979,6.70211444183409,6.34908626352474,5.60697040032851,5.20088173275519,6.13466151993775
"IL15",8.89146179369516,7.437007973776,8.49486645842311,8.52670117686379,7.76051951903842,7.93348690271077,6.17796694272404,7.32349494694813,6.4554291607227,6.82688932070584
"CXCL10",10.4021935178613,10.3406120430562,9.12128640139669,10.7815354913944,6.42615896935201,6.55712536089412,4.83824573870869,4.89078727433692,5.15971616399983,6.69910132108838
